zipcode,city,is_manhattan,origin_lat,origin_lon,facility_code,facility_name,facility_type,facility_lat,facility_lon,facility_km,flight_dist_km,flight_time_min,car_to_facility_base_min,car_to_facility_dist_km,car_to_airport_base_min,car_to_airport_dist_km,speed_to_facility_normal_kmh,speed_to_facility_rush_kmh,speed_to_facility_worst_kmh,speed_to_airport_normal_kmh,speed_to_airport_rush_kmh,speed_to_airport_worst_kmh,fast_car_to_facility_min,fast_heli_total_min,fast_car_direct_min,fast_savings_min,normal_car_to_facility_min,normal_heli_total_min,normal_car_direct_min,normal_savings_min,rush_car_to_facility_min,rush_heli_total_min,rush_car_direct_min,rush_savings_min,worst_car_to_facility_min,worst_heli_total_min,worst_car_direct_min,worst_savings_min
11201,NY,False,40.6948124781143,-73.99012392760484,JRB,NEW YORK,HELIPORT,40.7012136111111,-74.0090283333333,1.7454247735870838,20.583744001223078,6.175123200366923,9.468333333333334,4.9917,30.641666666666666,28.842299999999998,31.6,18.8,6.8,56.5,33.6,12.1,9.5,35.6,30.6,-5.0,11.8,38.0,38.3,0.3,15.9,42.1,51.5,9.4,44.3,70.5,143.4,72.9
10514,NY,False,41.17332769205102,-73.77072954647147,7NY9,NEW YORK,HELIPORT,41.2119444444444,-73.8033333333333,5.08731930069117,63.48816942295036,19.046450826885106,12.264999999999999,6.6678999999999995,68.04,70.19489999999999,32.6,19.4,7.0,61.9,36.8,13.2,12.3,51.3,68.0,16.7,15.3,54.4,85.1,30.7,20.6,59.7,114.3,54.7,57.4,96.4,318.4,222.0
10576,NY,False,41.21322544126348,-73.57290759533059,9CT1,CONNECTICUT,HELIPORT,41.1445,-73.4285333333333,14.296716916400847,63.1990827608713,18.95972482826139,22.208333333333332,13.962399999999999,80.78833333333334,84.2372,37.7,22.5,8.1,62.6,37.2,13.4,22.2,61.2,80.8,19.6,27.8,66.7,101.0,34.3,37.3,76.3,135.7,59.5,103.9,142.9,378.1,235.2
06880,NY,False,41.14160696555052,-73.3464589199341,9CT1,CONNECTICUT,HELIPORT,41.1445,-73.4285333333333,6.880228515125013,63.1990827608713,18.95972482826139,0.0,0.0,102.01666666666667,97.9562,,,,57.6,34.3,12.3,0.0,39.0,102.0,63.1,0.0,39.0,127.5,88.6,0.0,39.0,171.4,132.4,0.0,39.0,477.4,438.5
06830,NY,False,41.03743649848576,-73.62455867195487,HPN,NEW YORK,AIRPORT,41.0669530555556,-73.7075661111111,7.695456333645289,47.70077406203603,14.31023221861081,19.483333333333334,19.3285,53.08833333333334,53.9485,59.5,35.4,12.7,61.0,36.3,13.0,19.5,53.8,53.1,-0.7,24.4,58.7,66.4,7.7,32.7,67.0,89.2,22.1,91.2,125.5,248.5,123.0
06824,NY,False,41.174021318382,-73.28050389067454,CT41,CONNECTICUT,HELIPORT,41.2173183333333,-73.2553930555556,5.252890116779052,77.65753920067024,23.297261760201074,0.0,0.0,104.72,95.015,,,,54.4,32.4,11.6,0.0,43.3,104.7,61.4,0.0,43.3,130.9,87.6,0.0,43.3,175.9,132.6,0.0,43.3,490.1,446.8
06883,NY,False,41.22838704152897,-73.37252923555315,CT41,CONNECTICUT,HELIPORT,41.2173183333333,-73.2553930555556,9.873752519753777,77.65753920067024,23.297261760201074,0.0,0.0,104.72,95.015,,,,54.4,32.4,11.6,0.0,43.3,104.7,61.4,0.0,43.3,130.9,87.6,0.0,43.3,175.9,132.6,0.0,43.3,490.1,446.8
06897,NY,False,41.20704850946761,-73.44005973277288,9CT1,CONNECTICUT,HELIPORT,41.1445,-73.4285333333333,7.021663605895386,63.1990827608713,18.95972482826139,18.23,10.6093,104.72,95.015,34.9,20.8,7.5,54.4,32.4,11.6,18.2,57.2,104.7,47.5,22.8,61.7,130.9,69.2,30.6,69.6,175.9,106.3,85.3,124.3,490.1,365.8
06853,NY,False,41.06768266118464,-73.43822205857482,5CT4,CONNECTICUT,HELIPORT,41.1096666666667,-73.421775,4.867644061908007,60.082114787328926,18.024634436198678,0.0,0.0,102.01666666666667,97.9562,,,,57.6,34.3,12.3,0.0,38.0,102.0,64.0,0.0,38.0,127.5,89.5,0.0,38.0,171.4,133.4,0.0,38.0,477.4,439.4
06890,NY,False,41.14581606695584,-73.28946768540808,CT37,CONNECTICUT,HELIPORT,41.1610138888889,-73.204925,7.2772087714300016,75.23426118868808,22.570278356606423,157.29,160.9222,102.01666666666667,97.9562,61.4,36.5,13.1,57.6,34.3,12.3,157.3,199.9,102.0,-97.8,196.6,239.2,127.5,-111.7,264.2,306.8,171.4,-135.4,736.1,778.7,477.4,-301.2
