zipcode,city_key,total_establishments,total_employment,total_payroll_K,detailed_establishments,power_establishments,power_estab_pct,power_employment,estimated_revenue_M,power_revenue_M,power_emp_pct,power_rev_pct,city_name,centroid_lat,centroid_lon,Travel_Time_Min,Distance_km,Revenue_Norm,Employment_Norm,PowerShare_Norm,Distance_Norm,Distance_Squared,Corporate_Score,threshold_90
11004,new_york,287,3716,215369,1186.0,387.0,0.3263069139966273,1212,743.2,424.2,32.61571582346609,57.07750269106566,New York,40.74619139562213,-73.71150707557506,0.0,12.944329315957354,0.02074338853360887,0.02074338853360887,0.3261571582346609,0.031220180080532726,0.0009746996442608925,0.017012181804790614,0.0905764210727858
11005,new_york,27,257,12318,52.0,30.0,0.5769230769230769,148,51.4,51.8,57.58754863813229,100.77821011673151,New York,40.75664325353869,-73.71423981488,36.13333333333333,24.08888888888889,0.001424222960708202,0.001424222960708202,0.5758754863813229,0.05902050418361313,0.0034834199140878954,0.004190599589797714,0.0905764210727858
11010,new_york,661,3713,161416,2881.0,502.0,0.1742450538007636,646,742.6,226.1,17.398330191220037,30.447077834635067,New York,40.70065397022628,-73.67513265332933,0.0,10.907335717166934,0.020726632969365246,0.020726632969365243,0.17398330191220038,0.02613885929152484,0.0006832399650621345,0.014412339827950125,0.0905764210727858
11020,new_york,164,782,38544,512.0,254.0,0.49609375,387,156.4,135.45,49.48849104859335,86.60485933503836,New York,40.77095827605672,-73.71294078498069,35.9,23.93333333333333,0.004356446703342735,0.004356446703342735,0.4948849104859335,0.05863246777605668,0.0034377662775103247,0.008450199720990615,0.0905764210727858
11021,new_york,1927,15859,1090097,9087.0,4332.0,0.476724991746451,7560,3171.8,2646.0,47.6700926918469,83.42266221073207,New York,40.78644711662445,-73.72889793639926,39.983333333333334,26.65555555555556,0.08856432740372533,0.08856432740372532,0.476700926918469,0.06542310490829453,0.004280182655841712,0.062193872798806976,0.0905764210727858
11023,new_york,341,2030,119524,1414.0,523.0,0.3698727015558699,750,406.0,262.5,36.94581280788177,64.65517241379311,New York,40.79919928807775,-73.73338615435364,0.0,17.95742405107908,0.011326761428691112,0.011326761428691112,0.3694581280788177,0.04372544397039772,0.0019119144504083905,0.013384348049845946,0.0905764210727858
11024,new_york,222,875,48773,848.0,367.0,0.4327830188679245,378,175.0,132.3,43.2,75.60000000000001,New York,40.816986915122996,-73.74294109255167,0.0,19.758861938525932,0.004875869194895138,0.004875869194895138,0.43200000000000005,0.04821916638220385,0.0023250880065946583,0.008238426677905177,0.0905764210727858
11030,new_york,875,21830,2200739,3994.0,1493.0,0.3738107160741111,8160,4366.0,2856.0,37.37975263398992,65.41456710948236,New York,40.7929155023431,-73.68871155040422,41.9,27.933333333333334,0.12191348543662209,0.12191348543662207,0.3737975263398992,0.06861054682750821,0.004707407135969697,0.07522902856752532,0.0905764210727858
11040,new_york,1537,25138,2311270,7161.0,1655.0,0.2311129730484569,5809,5027.6,2033.15,23.10844140345294,40.43977245604265,New York,40.745700860023,-73.679777392798,37.516666666666666,25.01111111111111,0.14038928760926025,0.14038928760926025,0.2310844140345294,0.06132100574269779,0.003760265745295975,0.073345992393192,0.0905764210727858
11042,new_york,645,23042,2055197,2885.0,1713.0,0.5937608318890815,13681,4608.4,4788.35,59.37418626855308,103.9048259699679,New York,40.75854191273951,-73.6974504391,35.28333333333333,23.522222222222222,0.12868273339104694,0.12868273339104694,0.5937418626855309,0.0576069429846575,0.00331855988003758,0.07787853358745028,0.0905764210727858
