zipcode,city_key,total_establishments,total_employment,total_payroll_K,detailed_establishments,power_establishments,power_estab_pct,power_employment,estimated_revenue_M,power_revenue_M,power_emp_pct,power_rev_pct,city_name
2635,other,93,323,19108,253.0,77.0,0.3043478260869565,98,68.05,34.3,30.3405572755418,50.40411462160176,Other
2637,other,6,51,2822,0.0,0.0,0.0,0,7.65,0.0,0.0,0.0,Other
2638,other,90,393,21860,247.0,48.0,0.194331983805668,76,74.15,26.6,19.338422391857502,35.8732299393122,Other
2639,other,119,526,29740,412.0,72.0,0.174757281553398,91,97.1,31.85,17.300380228136884,32.80123583934088,Other
2641,other,39,237,12549,75.0,6.0,0.08,18,39.15,6.3,7.59493670886076,16.091954022988507,Other
2642,other,137,450,22501,476.0,68.0,0.1428571428571428,64,80.3,22.4,14.22222222222222,27.895392278953924,Other
2643,other,20,72,3840,29.0,0.0,0.0,0,10.8,0.0,0.0,0.0,Other
2644,other,81,366,20183,268.0,42.0,0.1567164179104477,57,66.3,19.95,15.57377049180328,30.09049773755656,Other
2645,other,265,2024,119659,994.0,92.0,0.0925553319919517,187,341.0,65.45,9.239130434782608,19.193548387096776,Other
2646,other,117,635,40118,383.0,79.0,0.206266318537859,130,121.25,45.5,20.47244094488189,37.52577319587629,Other
2647,other,10,31,3270,9.0,9.0,1.0,31,10.85,10.85,100.0,100.0,Other
2648,other,201,1197,57679,709.0,77.0,0.1086036671368124,129,205.35,45.15,10.776942355889725,21.986851716581445,Other
2649,other,486,3494,166422,2021.0,400.0,0.1979218208807521,691,662.3,241.85,19.776760160274755,36.51668428204741,Other
2650,other,41,427,25119,66.0,11.0,0.1666666666666666,71,78.25,24.85,16.627634660421545,31.75718849840256,Other
2652,other,67,269,16032,207.0,14.0,0.0676328502415458,18,43.95,6.3,6.691449814126393,14.334470989761094,Other
2653,other,385,2657,137362,1469.0,367.0,0.2498298162014976,663,531.1500000000001,232.05,24.9529544599172,43.68822366563117,Other
