airport_code,city_name,city_key,date,hour,day_of_week,month,year,type,airline_normalized,seatguru_aircraft_model,first_class_seats,business_class_seats,premium_total,distance_km,orig_icao,dest_icao
KLAX,Los Angeles,los_angeles,2025-10-10,14.0,Friday,10.0,2025.0,DEPARTURE,United,Boeing 737-900 (739) Layout 1,20,0,20,2298.65,KLAX,KIAH
KLAX,Los Angeles,los_angeles,2025-10-10,13.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Boeing 737-800 (738) Layout 1,16,0,16,3019.14,KLAX,KORD
KLAX,Los Angeles,los_angeles,2025-10-10,13.0,Friday,10.0,2025.0,DEPARTURE,Delta,Boeing 737-900ER (739),20,0,20,3313.69,KLAX,KATL
KLAX,Los Angeles,los_angeles,2025-10-10,13.0,Friday,10.0,2025.0,DEPARTURE,Delta,Airbus A320 (32K) Layout 1,16,0,16,2118.08,KLAX,KAUS
KLAX,Los Angeles,los_angeles,2025-10-10,14.0,Friday,10.0,2025.0,DEPARTURE,Delta,Boeing 737-900ER (739),20,0,20,1625.21,KLAX,KSEA
KLAX,Los Angeles,los_angeles,2025-10-10,13.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Airbus A321 (321) Layout 1,16,0,16,2155.73,KLAX,KDFW
KLAX,Los Angeles,los_angeles,2025-10-10,8.0,Friday,10.0,2025.0,DEPARTURE,Air France,Airbus A350-900 (359),0,34,34,6615.57,KLAX,NTAA
KLAX,Los Angeles,los_angeles,2025-10-10,12.0,Friday,10.0,2025.0,DEPARTURE,United,Boeing 737-900 (739) Layout 1,20,0,20,2351.59,KLAX,KIAH
KLAX,Los Angeles,los_angeles,2025-10-10,4.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Boeing 777-200 (777),0,37,37,9087.16,KLAX,EGLL
KLAX,Los Angeles,los_angeles,2025-10-10,12.0,Friday,10.0,2025.0,DEPARTURE,United,Boeing 737 MAX 9 (7M9),20,0,20,1524.65,KLAX,KDEN
KLAX,Los Angeles,los_angeles,2025-10-10,8.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Airbus A321 (321) Layout 1,16,0,16,4021.85,KLAX,KPHL
KLAX,Los Angeles,los_angeles,2025-10-10,3.0,Friday,10.0,2025.0,DEPARTURE,British Airways,Airbus A380-800 (388),14,97,111,9099.71,KLAX,EGLL
KLAX,Los Angeles,los_angeles,2025-10-10,4.0,Friday,10.0,2025.0,DEPARTURE,LATAM,Boeing 787-8 (788),0,30,30,6839.66,KLAX,SPJC
KLAX,Los Angeles,los_angeles,2025-10-10,7.0,Friday,10.0,2025.0,DEPARTURE,United,Boeing 737 MAX 9 (7M9),20,0,20,3829.35,KLAX,MSLP
KLAX,Los Angeles,los_angeles,2025-10-10,7.0,Friday,10.0,2025.0,DEPARTURE,Delta,Boeing 767-300ER (76H/76Z) Layout 3,0,36,36,4243.5,KLAX,KJFK
KLAX,Los Angeles,los_angeles,2025-10-10,7.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Airbus A321 (321) Layout 1,16,0,16,4396.0,KLAX,KBOS
KLAX,Los Angeles,los_angeles,2025-10-10,1.0,Friday,10.0,2025.0,DEPARTURE,Air France,Boeing 777-300ER (77W) Caribbean,0,14,14,9274.5,KLAX,LFPG
KLAX,Los Angeles,los_angeles,2025-10-10,6.0,Friday,10.0,2025.0,DEPARTURE,United,Boeing 737 MAX 9 (7M9),20,0,20,4392.91,KLAX,KBOS
KLAX,Los Angeles,los_angeles,2025-10-10,7.0,Friday,10.0,2025.0,DEPARTURE,United,Boeing 777-200 (772) Layout 1,0,50,50,4068.88,KLAX,KEWR
KLAX,Los Angeles,los_angeles,2025-10-10,8.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Boeing 737-800 (738) Layout 1,16,0,16,2151.34,KLAX,KDFW
KLAX,Los Angeles,los_angeles,2025-10-10,6.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Airbus A321 (321) Layout 1,16,0,16,4220.78,KLAX,KJFK
KLAX,Los Angeles,los_angeles,2025-10-10,7.0,Friday,10.0,2025.0,DEPARTURE,United,Boeing 737-900 (739) Layout 1,20,0,20,3494.15,KLAX,MMUN
KLAX,Los Angeles,los_angeles,2025-10-10,7.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Airbus A321 (321) Layout 1,16,0,16,3008.95,KLAX,KORD
KLAX,Los Angeles,los_angeles,2025-10-10,6.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Airbus A321neo ACF,20,0,20,3862.16,KLAX,KMIA
KLAX,Los Angeles,los_angeles,2025-10-10,6.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Airbus A321neo ACF,20,0,20,3561.83,KLAX,KCLT
KLAX,Los Angeles,los_angeles,2025-10-10,8.0,Friday,10.0,2025.0,DEPARTURE,United,Boeing 737 MAX 9 (7M9),20,0,20,2327.26,KLAX,KIAH
KLAX,Los Angeles,los_angeles,2025-10-10,6.0,Friday,10.0,2025.0,DEPARTURE,United,Boeing 737 MAX 9 (7M9),20,0,20,3871.51,KLAX,KIAD
KLAX,Los Angeles,los_angeles,2025-10-10,7.0,Friday,10.0,2025.0,DEPARTURE,United,Boeing 737-900 (739) Layout 1,20,0,20,2345.49,KLAX,KIAH
KLAX,Los Angeles,los_angeles,2025-10-10,5.0,Friday,10.0,2025.0,DEPARTURE,Delta,Boeing 767-300ER (76H/76Z) Layout 3,0,36,36,4214.1,KLAX,KJFK
KLAX,Los Angeles,los_angeles,2025-10-10,6.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Airbus A321 (321) Layout 1,16,0,16,3697.6,KLAX,KMCO
KLAX,Los Angeles,los_angeles,2025-10-10,7.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Airbus A321neo ACF,20,0,20,2132.58,KLAX,KDFW
KLAX,Los Angeles,los_angeles,2025-10-10,5.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Airbus A321neo ACF,20,0,20,3957.19,KLAX,KPHL
KLAX,Los Angeles,los_angeles,2025-10-10,5.0,Friday,10.0,2025.0,DEPARTURE,United,Boeing 737-900 (739) Layout 1,20,0,20,3809.83,KLAX,KIAD
KLAX,Los Angeles,los_angeles,2025-10-10,5.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Airbus A321 (321) Layout 1,16,0,16,4236.18,KLAX,KJFK
KLAX,Los Angeles,los_angeles,2025-10-10,5.0,Friday,10.0,2025.0,DEPARTURE,United,Boeing 737 MAX 9 (7M9),20,0,20,3801.44,KLAX,KIAD
KLAX,Los Angeles,los_angeles,2025-10-10,7.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Airbus A321 (321) Layout 1,16,0,16,2125.01,KLAX,KDFW
KLAX,Los Angeles,los_angeles,2025-10-10,5.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Boeing 737 MAX 8 (7M8),16,0,16,3888.25,KLAX,KMIA
KLAX,Los Angeles,los_angeles,2025-10-10,6.0,Friday,10.0,2025.0,DEPARTURE,United,Boeing 737-900 (739) Layout 1,20,0,20,2959.95,KLAX,KORD
KLAX,Los Angeles,los_angeles,2025-10-10,5.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Airbus A321 (321) Layout 1,16,0,16,3567.43,KLAX,KCLT
KLAX,Los Angeles,los_angeles,2025-10-10,5.0,Friday,10.0,2025.0,DEPARTURE,Delta,Boeing 737-900ER (739),20,0,20,3377.31,KLAX,KDTW
KLAX,Los Angeles,los_angeles,2025-10-10,4.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Airbus A321neo ACF,20,0,20,3859.26,KLAX,KMIA
KLAX,Los Angeles,los_angeles,2025-10-10,4.0,Friday,10.0,2025.0,DEPARTURE,United,Boeing 777-200 (772) Layout 1,0,50,50,4075.82,KLAX,KEWR
KLAX,Los Angeles,los_angeles,2025-10-09,17.0,Thursday,10.0,2025.0,DEPARTURE,United,Boeing 787-9 (789) Layout 1,0,64,64,12850.8,KLAX,VHHH
KLAX,Los Angeles,los_angeles,2025-10-10,5.0,Friday,10.0,2025.0,DEPARTURE,Delta,Boeing 737-900ER (739),20,0,20,1618.17,KLAX,KSEA
KLAX,Los Angeles,los_angeles,2025-10-09,18.0,Thursday,10.0,2025.0,DEPARTURE,United,Boeing 787-10 (781),0,122,122,9553.75,KLAX,RJTT
