zipcode,city_key,power_establishments,power_employment,power_revenue_M,total_establishments,total_employment,power_emp_pct,power_estab_pct
68769,other,31.0,131,45.85,63,497,26.358148893360163,49.2063492063492
68770,other,0.0,0,0.0,33,146,0.0,0.0
68771,other,16.0,53,18.55,44,322,16.459627329192546,36.36363636363637
68773,other,0.0,0,0.0,4,37,0.0,0.0
68774,other,0.0,0,0.0,4,16,0.0,0.0
68776,other,215.0,1161,406.35,317,6410,18.11232449297972,67.82334384858044
68777,other,0.0,0,0.0,29,214,0.0,0.0
68933,other,9.0,70,24.5,23,141,49.645390070921984,39.130434782608695
68935,other,0.0,0,0.0,17,90,0.0,0.0
68937,other,40.0,80,28.0,58,226,35.39823008849557,68.96551724137932
68938,other,0.0,0,0.0,14,93,0.0,0.0
68939,other,9.0,46,16.1,41,240,19.166666666666668,21.951219512195124
68940,other,0.0,0,0.0,5,24,0.0,0.0
68941,other,0.0,0,0.0,15,29,0.0,0.0
68942,other,0.0,0,0.0,8,26,0.0,0.0
68943,other,0.0,0,0.0,7,32,0.0,0.0
68944,other,0.0,0,0.0,14,41,0.0,0.0
68945,other,0.0,0,0.0,3,24,0.0,0.0
68947,other,0.0,0,0.0,15,46,0.0,0.0
68948,other,3.0,8,2.8,16,38,21.052631578947366,18.75
68949,other,290.0,1045,365.75,286,3963,26.368912440070652,101.3986013986014
68950,other,0.0,0,0.0,8,29,0.0,0.0
68954,other,0.0,0,0.0,3,4,0.0,0.0
68955,other,6.0,22,7.7,31,171,12.865497076023392,19.35483870967742
68956,other,0.0,0,0.0,27,146,0.0,0.0
68957,other,0.0,0,0.0,15,70,0.0,0.0
68958,other,0.0,0,0.0,12,36,0.0,0.0
68959,other,84.0,258,90.3,133,1204,21.428571428571427,63.1578947368421
68961,other,0.0,0,0.0,20,66,0.0,0.0
68966,other,0.0,0,0.0,12,61,0.0,0.0
68967,other,6.0,32,11.2,28,174,18.39080459770115,21.428571428571427
68970,other,0.0,0,0.0,43,289,0.0,0.0
68971,other,0.0,0,0.0,12,26,0.0,0.0
68973,other,0.0,0,0.0,11,20,0.0,0.0
68974,other,0.0,0,0.0,8,36,0.0,0.0
